Dataset,Set,Approach,Metric,Value,Method,File,Specs
AISHELL-4,,Baseline,JER,0.79137,,S_R004S04C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.55217,,S_R004S04C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.97832,,S_R004S04C01,xvec_sc
AISHELL-4,,Baseline,DER,0.63825,,L_R003S04C02,xvec_sc
AISHELL-4,,Baseline,JER,0.85507,,L_R003S04C02,xvec_sc
AISHELL-4,,Baseline,Purity,0.79021,,L_R003S04C02,xvec_sc
AISHELL-4,,Baseline,Coverage,0.95968,,L_R003S04C02,xvec_sc
AISHELL-4,,Baseline,DER,0.81608,,L_R003S02C02,xvec_sc
AISHELL-4,,Baseline,JER,0.88086,,L_R003S02C02,xvec_sc
AISHELL-4,,Baseline,Purity,0.51826,,L_R003S02C02,xvec_sc
AISHELL-4,,Baseline,Coverage,0.99216,,L_R003S02C02,xvec_sc
AISHELL-4,,Baseline,DER,0.46165,,S_R003S04C01,xvec_sc
AISHELL-4,,Baseline,JER,0.74244,,S_R003S04C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.64359,,S_R003S04C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.91394,,S_R003S04C01,xvec_sc
AISHELL-4,,Exact,DER,0.37648,,S_R004S01C01,ecapa_ahc
AISHELL-4,,Exact,JER,0.46881,,S_R004S01C01,ecapa_ahc
AISHELL-4,,Exact,Purity,0.90867,,S_R004S01C01,ecapa_ahc
AISHELL-4,,Exact,Coverage,0.92154,,S_R004S01C01,ecapa_ahc
AISHELL-4,,Exact,DER,0.70857,,L_R003S03C02,ecapa_ahc
AISHELL-4,,Exact,JER,0.76698,,L_R003S03C02,ecapa_ahc
AISHELL-4,,Exact,Purity,0.77072,,L_R003S03C02,ecapa_ahc
AISHELL-4,,Exact,Coverage,0.71375,,L_R003S03C02,ecapa_ahc
AISHELL-4,,Exact,DER,0.78943,,M_R003S04C01,ecapa_ahc
AISHELL-4,,Exact,JER,0.82798,,M_R003S04C01,ecapa_ahc
AISHELL-4,,Exact,Purity,0.69763,,M_R003S04C01,ecapa_ahc
AISHELL-4,,Exact,Coverage,0.72733,,M_R003S04C01,ecapa_ahc
AISHELL-4,,Exact,DER,0.43056,,L_R004S06C01,ecapa_ahc
AISHELL-4,,Exact,JER,0.46747,,L_R004S06C01,ecapa_ahc
AISHELL-4,,Exact,Purity,0.90742,,L_R004S06C01,ecapa_ahc
AISHELL-4,,Exact,Coverage,0.96001,,L_R004S06C01,ecapa_ahc
AISHELL-4,,Exact,DER,0.83488,,M_R003S02C01,ecapa_ahc
AISHELL-4,,Exact,JER,0.85604,,M_R003S02C01,ecapa_ahc
